Trial_ID,Trial_Name,Task,Subject,Repetition,Frames,Duration_Seconds,Self_Proclaimed_Skill,GRS_Total,GRS_Tissue_Respect,GRS_Handling,GRS_Time_Motion,GRS_Flow,GRS_Performance,GRS_Quality,Left_Mean_Speed,Left_Median_Speed,Left_Max_Speed,Left_Speed_Std,Right_Mean_Speed,Right_Median_Speed,Right_Max_Speed,Right_Speed_Std,Left_Idle_Ratio,Left_Idle_Time,Right_Idle_Ratio,Right_Idle_Time,Left_Mean_Acceleration,Left_Median_Acceleration,Left_Max_Acceleration,Left_Acceleration_Std,Right_Mean_Acceleration,Right_Median_Acceleration,Right_Max_Acceleration,Right_Acceleration_Std,Left_Mean_Jerk,Left_Median_Jerk,Left_Max_Jerk,Left_Jerk_Std,Right_Mean_Jerk,Right_Median_Jerk,Right_Max_Jerk,Right_Jerk_Std
25,Knot_Tying_G001,Knot Tying,G,1,,,N,9,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Knot_Tying_G002,Knot Tying,G,2,,,N,11,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Knot_Tying_G003,Knot Tying,G,3,,,N,10,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Knot_Tying_G004,Knot Tying,G,4,,,N,6,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Knot_Tying_G005,Knot Tying,G,5,,,N,11,1,2,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Knot_Tying_H003,Knot Tying,H,1,,,N,12,3,2,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Knot_Tying_H004,Knot Tying,H,2,,,N,22,3,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Knot_Tying_H005,Knot Tying,H,3,,,N,18,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Knot_Tying_I001,Knot Tying,I,1,,,N,9,2,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Knot_Tying_I002,Knot Tying,I,2,,,N,8,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Knot_Tying_I003,Knot Tying,I,3,,,N,8,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Knot_Tying_I005,Knot Tying,I,4,,,N,6,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Needle_Passing_B001,Needle Passing,B,1,,,N,8,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Needle_Passing_B002,Needle Passing,B,2,,,N,8,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Needle_Passing_B003,Needle Passing,B,3,,,N,14,2,2,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Needle_Passing_B004,Needle Passing,B,4,,,N,19,3,3,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Needle_Passing_C001,Needle Passing,C,1,,,I,11,1,2,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Needle_Passing_C002,Needle Passing,C,2,,,I,9,1,1,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Needle_Passing_C003,Needle Passing,C,3,,,I,7,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Needle_Passing_C004,Needle Passing,C,4,,,I,12,1,2,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Needle_Passing_C005,Needle Passing,C,5,,,I,12,1,2,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Needle_Passing_D001,Needle Passing,D,1,,,E,9,1,1,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Needle_Passing_D002,Needle Passing,D,2,,,E,11,1,2,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Needle_Passing_D003,Needle Passing,D,3,,,E,10,1,2,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Needle_Passing_D004,Needle Passing,D,4,,,E,12,2,2,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Needle_Passing_D005,Needle Passing,D,5,,,E,13,2,2,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Needle_Passing_E001,Needle Passing,E,1,,,E,13,2,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Needle_Passing_E003,Needle Passing,E,2,,,E,13,3,2,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Needle_Passing_E004,Needle Passing,E,3,,,E,14,2,3,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Needle_Passing_E005,Needle Passing,E,4,,,E,17,3,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Needle_Passing_F001,Needle Passing,F,1,,,I,22,3,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Needle_Passing_F003,Needle Passing,F,2,,,I,15,1,4,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Needle_Passing_F004,Needle Passing,F,3,,,I,24,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Needle_Passing_H002,Needle Passing,H,1,,,N,19,3,3,2,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Needle_Passing_H004,Needle Passing,H,2,,,N,20,3,3,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Needle_Passing_H005,Needle Passing,H,3,,,N,21,3,4,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Needle_Passing_I002,Needle Passing,I,1,,,N,12,1,3,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Needle_Passing_I003,Needle Passing,I,2,,,N,14,2,2,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Needle_Passing_I004,Needle Passing,I,3,,,N,18,2,3,2,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Needle_Passing_I005,Needle Passing,I,4,,,N,23,4,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Suturing_B001,Suturing,B,1,,,N,13,3,2,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Suturing_B002,Suturing,B,2,,,N,17,4,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Suturing_B003,Suturing,B,3,,,N,14,3,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Suturing_B004,Suturing,B,4,,,N,10,1,1,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Suturing_B005,Suturing,B,5,,,N,12,2,2,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Suturing_C001,Suturing,C,1,,,I,26,4,4,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Suturing_C002,Suturing,C,2,,,I,20,3,3,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Suturing_C003,Suturing,C,3,,,I,26,4,4,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Suturing_C004,Suturing,C,4,,,I,30,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Suturing_C005,Suturing,C,5,,,I,17,3,2,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Suturing_D001,Suturing,D,1,,,E,14,2,2,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Suturing_D002,Suturing,D,2,,,E,18,2,3,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Suturing_D003,Suturing,D,3,,,E,14,2,2,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Suturing_D004,Suturing,D,4,,,E,8,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Suturing_D005,Suturing,D,5,,,E,15,2,2,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Suturing_E001,Suturing,E,1,,,E,17,3,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Suturing_E002,Suturing,E,2,,,E,20,4,2,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Suturing_E003,Suturing,E,3,,,E,19,3,2,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Suturing_E004,Suturing,E,4,,,E,19,3,2,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Suturing_E005,Suturing,E,5,,,E,19,3,2,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Suturing_F001,Suturing,F,1,,,I,24,4,4,3,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Suturing_F002,Suturing,F,2,,,I,26,4,4,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Suturing_F003,Suturing,F,3,,,I,29,5,5,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Suturing_F004,Suturing,F,4,,,I,24,3,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Suturing_F005,Suturing,F,5,,,I,29,4,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Suturing_G001,Suturing,G,1,,,N,13,3,1,1,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Suturing_G002,Suturing,G,2,,,N,18,3,2,2,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Suturing_G003,Suturing,G,3,,,N,13,3,2,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Suturing_G004,Suturing,G,4,,,N,21,4,3,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Suturing_G005,Suturing,G,5,,,N,23,4,3,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Suturing_H001,Suturing,H,1,,,N,14,2,2,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Suturing_H003,Suturing,H,2,,,N,25,4,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Suturing_H004,Suturing,H,3,,,N,19,3,3,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Suturing_H005,Suturing,H,4,,,N,21,4,3,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Suturing_I001,Suturing,I,1,,,N,17,3,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Suturing_I002,Suturing,I,2,,,N,23,4,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Suturing_I003,Suturing,I,3,,,N,17,3,2,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Suturing_I004,Suturing,I,4,,,N,23,4,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Suturing_I005,Suturing,I,5,,,N,19,3,3,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
