,GRS_Total,Left_Mean_Speed,Left_Median_Speed,Left_Max_Speed,Left_Speed_Std,Right_Mean_Speed,Right_Median_Speed,Right_Max_Speed,Right_Speed_Std,Left_Idle_Ratio,Left_Idle_Time,Right_Idle_Ratio,Right_Idle_Time,Left_Mean_Acceleration,Left_Median_Acceleration,Left_Max_Acceleration,Left_Acceleration_Std,Right_Mean_Acceleration,Right_Median_Acceleration,Right_Max_Acceleration,Right_Acceleration_Std,Left_Mean_Jerk,Left_Median_Jerk,Left_Max_Jerk,Left_Jerk_Std,Right_Mean_Jerk,Right_Median_Jerk,Right_Max_Jerk,Right_Jerk_Std
Left_Idle_Time,-0.14984933261359915,-0.49621490780353583,-0.5387310162047872,-0.17458209519428958,-0.3187416818484391,-0.5233456910756471,-0.4452092647203236,-0.12219819266270546,-0.42642819277767813,0.6504980355882524,1.0,0.37704429299049125,0.8410970585074982,-0.4961609396456207,-0.523481766464339,-0.22372964570510342,-0.3985993678660604,-0.3767882096012026,-0.41186578425085707,-0.12540227876100465,-0.33611334126677095,-0.463721808561788,-0.49462137346131047,-0.14553552537720177,-0.2722955183774579,-0.277524175513032,-0.24770391066651173,-0.046374439032934804,-0.2161194697366286
Right_Idle_Ratio,0.11101045631898597,-0.3639294821617443,-0.3864947143250314,-0.31977578797709527,-0.3021431995935703,-0.6722064275402114,-0.6660232566673657,-0.39804531434304957,-0.5116116094895948,0.48903208448452595,0.37704429299049125,1.0,0.7157671721509652,-0.4807551496535449,-0.43785158920193784,-0.3128742204376522,-0.47291076739358995,-0.6796286934060225,-0.7601991265113889,-0.397125410208932,-0.4947950656625129,-0.4432085170878062,-0.3864472930176185,-0.316744674704423,-0.40560251779888185,-0.6362324571674954,-0.7452220804849328,-0.2678889957420721,-0.3025540774722398
Right_Idle_Time,-0.003463144363773056,-0.418942156436367,-0.4400966156603186,-0.16933311930182188,-0.28756446381583867,-0.7226572687104251,-0.6676800732219831,-0.25569734703632047,-0.5572999207217303,0.46984784560331194,0.8410970585074982,0.7157671721509652,1.0,-0.447088740400204,-0.4204667235550895,-0.20983325703811917,-0.4315721063420852,-0.570543377970525,-0.6123687544654552,-0.2658300540860572,-0.4817793917760237,-0.393320753021089,-0.3515105180475909,-0.2088079801533499,-0.349447470364791,-0.4768775791570986,-0.49238631389885346,-0.15042657248479374,-0.31641472146450944
Left_Mean_Acceleration,0.3887239031296017,0.8102623980524652,0.6412201239402564,0.719028807878883,0.7397019718744478,0.5115563158092892,0.35467011375923424,0.6045095896613075,0.5996620287277341,-0.7349306361716315,-0.4961609396456207,-0.4807551496535449,-0.447088740400204,1.0,0.9536963057578692,0.7090935819281888,0.932718338498411,0.7567437543929388,0.7960788542907641,0.5524549822311827,0.6784195067456975,0.9506866268215832,0.8884879397522119,0.5431393592202853,0.8067047975902808,0.7132750507349949,0.6998616090244786,0.40997225181263264,0.5314728437487094
Left_Median_Acceleration,0.28616836846777044,0.7683174056868822,0.659033315489048,0.6135900116834383,0.6376901141099779,0.43443451907099284,0.2964296966239599,0.5098997092109758,0.5197385152649345,-0.8127880440351202,-0.523481766464339,-0.43785158920193784,-0.4204667235550895,0.9536963057578692,1.0,0.6495800118040769,0.8254175192938966,0.6801038788145608,0.7298142134024308,0.47045960320385855,0.5971568208643349,0.9158960154359894,0.8916606266758645,0.4875763043833114,0.6810025248104185,0.6393762949178873,0.6241863056149922,0.3508256469286472,0.47627530111880584
Left_Max_Acceleration,0.3322095674221472,0.6426894394232969,0.386848787392027,0.68808186124131,0.6774153794709511,0.28709268055518455,0.15945344466214023,0.4977583226505208,0.40138160015843904,-0.4529325208882204,-0.22372964570510342,-0.3128742204376522,-0.20983325703811917,0.7090935819281888,0.6495800118040769,1.0,0.7806674462662618,0.4733086617326796,0.51279786644589,0.4914979071325847,0.42630697465013545,0.5921822407058788,0.5363839953756683,0.7424873480125077,0.5780141961221045,0.4350618002311428,0.45611883315707763,0.302708105309365,0.28345673802845717
Left_Acceleration_Std,0.477075344676587,0.8149448477072034,0.5142070308596715,0.8186252291458136,0.8382488666977086,0.5491715456077764,0.3931674283142202,0.6548989814851675,0.6400730921334646,-0.5387332207871661,-0.3985993678660604,-0.47291076739358995,-0.4315721063420852,0.932718338498411,0.8254175192938966,0.7806674462662618,1.0,0.7776376143568395,0.7923419703135212,0.6013488948241803,0.7262437151470226,0.8220424784519859,0.6990253694612708,0.617834102487951,0.850420765058835,0.7292628070515125,0.7022804456967441,0.4060176203177354,0.5735160834587121
Right_Mean_Acceleration,0.14485228888258145,0.5500701889392047,0.4726814668443886,0.5234311284622637,0.5127668195908514,0.7888895890899701,0.7116889158353259,0.6648741458737295,0.7741771884435996,-0.41877103218420125,-0.3767882096012026,-0.6796286934060225,-0.570543377970525,0.7567437543929388,0.6801038788145608,0.4733086617326796,0.7776376143568395,1.0,0.9630158658917813,0.696310897768126,0.9491313102486449,0.7181208300316001,0.5545115077865638,0.49855801297448427,0.8016826610434317,0.9481160778604738,0.8918296513564866,0.5672132721610399,0.8161984943249327
Right_Median_Acceleration,0.12306600481807589,0.5783500718298366,0.48924961198023675,0.570116610339201,0.5462355744813752,0.7406713086666463,0.66179279649693,0.6215938685675482,0.7001925765137299,-0.5147722197499324,-0.41186578425085707,-0.7601991265113889,-0.6123687544654552,0.7960788542907641,0.7298142134024308,0.51279786644589,0.7923419703135212,0.9630158658917813,1.0,0.6493115610483656,0.8505721029271933,0.7630777980626589,0.6367898904828393,0.5082077865584481,0.773554191654974,0.9144179931203137,0.9095313803678853,0.5189849168192572,0.6891348684310552
Right_Max_Acceleration,0.1620603179979573,0.3323294005862551,0.26831025607064907,0.46273473148913635,0.3740075069630078,0.4871098819412732,0.34791570319404386,0.7924495120092423,0.6346219224444541,-0.1914361956630355,-0.12540227876100465,-0.397125410208932,-0.2658300540860572,0.5524549822311827,0.47045960320385855,0.4914979071325847,0.6013488948241803,0.696310897768126,0.6493115610483656,1.0,0.7460934675303224,0.5140413071964854,0.3711964733131098,0.41876749985748296,0.6225801439078592,0.6518063170771772,0.5975769249366117,0.8101528783369912,0.6247548682428812
Right_Acceleration_Std,0.19058840408282607,0.48849553386867994,0.41158237243063317,0.4626841247459544,0.4579574967745541,0.7782570556194401,0.6750799480828613,0.7079192784384304,0.8151482807250934,-0.2856930107983934,-0.33611334126677095,-0.4947950656625129,-0.4817793917760237,0.6784195067456975,0.5971568208643349,0.42630697465013545,0.7262437151470226,0.9491313102486449,0.8505721029271933,0.7460934675303224,1.0,0.6319103887294826,0.4532763986337993,0.44476722691076487,0.7661164889292769,0.8727538501155719,0.7493144931984053,0.5860870842209984,0.8721752318679288
Left_Mean_Jerk,0.3009713579360377,0.6559975461659534,0.5825925985835444,0.6054880625924355,0.5761438286766695,0.41880905437852495,0.29560003347895797,0.5228447810200428,0.4889958583175129,-0.73112621292418,-0.463721808561788,-0.4432085170878062,-0.393320753021089,0.9506866268215832,0.9158960154359894,0.5921822407058788,0.8220424784519859,0.7181208300316001,0.7630777980626589,0.5140413071964854,0.6319103887294826,1.0,0.9502611900651032,0.48581340988601596,0.8227088669240353,0.7113498799961958,0.685324738239043,0.42883502350845404,0.5402256870515653
Left_Median_Jerk,0.24911221222753244,0.6263343456635079,0.624433063795514,0.5245812648330951,0.5058164186270575,0.31161668051322516,0.19334403708307493,0.39743205220767375,0.36201608617879794,-0.8204038045349994,-0.49462137346131047,-0.3864472930176185,-0.3515105180475909,0.8884879397522119,0.8916606266758645,0.5363839953756683,0.6990253694612708,0.5545115077865638,0.6367898904828393,0.3711964733131098,0.4532763986337993,0.9502611900651032,1.0,0.3711588751751468,0.6249609893646825,0.541116084962339,0.5581307047003145,0.29128309987053624,0.3435165042398246
Left_Max_Jerk,0.1468284242029112,0.45615506484437424,0.31233773404341697,0.48820353573198416,0.47641528313999365,0.2720133427476315,0.20875927504641606,0.3408270175499626,0.319039607901388,-0.2908715958711385,-0.14553552537720177,-0.316744674704423,-0.2088079801533499,0.5431393592202853,0.4875763043833114,0.7424873480125077,0.617834102487951,0.49855801297448427,0.5082077865584481,0.41876749985748296,0.44476722691076487,0.48581340988601596,0.3711588751751468,1.0,0.6509889543927703,0.5084228305856349,0.4789862595510359,0.37105898667511067,0.4196790750012243
Left_Jerk_Std,0.3551656035315889,0.552371282032212,0.34462877802890146,0.6395017061227634,0.5993993474624807,0.4749642723895892,0.37395399609385654,0.5820563464424001,0.554639846363257,-0.3528845901314062,-0.2722955183774579,-0.40560251779888185,-0.349447470364791,0.8067047975902808,0.6810025248104185,0.5780141961221045,0.850420765058835,0.8016826610434317,0.773554191654974,0.6225801439078592,0.7661164889292769,0.8227088669240353,0.6249609893646825,0.6509889543927703,1.0,0.8226643545974238,0.7224435779073517,0.5445379638488326,0.7502162276507351
Right_Mean_Jerk,0.10393584608359044,0.5072025163998215,0.4270321030037354,0.5163566469097196,0.4905964810268597,0.6073067464197801,0.5822653757405006,0.5508774234106659,0.5803127998009228,-0.3798767287597196,-0.277524175513032,-0.6362324571674954,-0.4768775791570986,0.7132750507349949,0.6393762949178873,0.4350618002311428,0.7292628070515125,0.9481160778604738,0.9144179931203137,0.6518063170771772,0.8727538501155719,0.7113498799961958,0.541116084962339,0.5084228305856349,0.8226643545974238,1.0,0.9427706355930603,0.5917994980871218,0.869297311775906
Right_Median_Jerk,0.042953145073088825,0.5138192268291574,0.439188009217949,0.5195064744632911,0.49910754922774403,0.5855588471789274,0.56309918098096,0.5234077047999343,0.5321173996136883,-0.431928210482156,-0.24770391066651173,-0.7452220804849328,-0.49238631389885346,0.6998616090244786,0.6241863056149922,0.45611883315707763,0.7022804456967441,0.8918296513564866,0.9095313803678853,0.5975769249366117,0.7493144931984053,0.685324738239043,0.5581307047003145,0.4789862595510359,0.7224435779073517,0.9427706355930603,1.0,0.5207050222328751,0.6772242306709664
Right_Max_Jerk,0.03689819812552803,0.1814689991736892,0.18113159226537745,0.315830902153076,0.2185076196603782,0.3009891973965638,0.21563551515093202,0.5287493867976972,0.42211598060415445,-0.11977303634407224,-0.046374439032934804,-0.2678889957420721,-0.15042657248479374,0.40997225181263264,0.3508256469286472,0.302708105309365,0.4060176203177354,0.5672132721610399,0.5189849168192572,0.8101528783369912,0.5860870842209984,0.42883502350845404,0.29128309987053624,0.37105898667511067,0.5445379638488326,0.5917994980871218,0.5207050222328751,1.0,0.6179953371054746
Right_Jerk_Std,0.1393269227915752,0.36712834546923606,0.30748549759707106,0.3625960195829587,0.3463667933710749,0.5112507675095702,0.49412282364301346,0.45518260114175807,0.5280212619988333,-0.1710848696592978,-0.2161194697366286,-0.3025540774722398,-0.31641472146450944,0.5314728437487094,0.47627530111880584,0.28345673802845717,0.5735160834587121,0.8161984943249327,0.6891348684310552,0.6247548682428812,0.8721752318679288,0.5402256870515653,0.3435165042398246,0.4196790750012243,0.7502162276507351,0.869297311775906,0.6772242306709664,0.6179953371054746,1.0
